Timestamp,Temperature_Celsius(°C),External_Temp(°C)
2024-11-30 00:00:00,19.8,0.68
2024-11-30 00:30:00,19.26,-2.21
2024-11-30 01:00:00,19.0,3.58
2024-11-30 01:30:00,18.53,1.0
2024-11-30 02:00:00,17.86,-2.87
2024-11-30 02:30:00,17.36,-2.54
2024-11-30 03:00:00,17.03,3.32
2024-11-30 03:30:00,17.72,-2.04
2024-11-30 04:00:00,17.13,-0.17
2024-11-30 04:30:00,16.03,2.65
2024-11-30 05:00:00,15.7,0.36
2024-11-30 05:30:00,15.0,6.97
2024-11-30 06:00:00,15.57,3.38
2024-11-30 06:30:00,15.28,3.78
2024-11-30 07:00:00,15.08,3.61
2024-11-30 07:30:00,15.0,2.23
2024-11-30 08:00:00,15.0,4.25
2024-11-30 08:30:00,15.06,6.03
2024-11-30 09:00:00,15.19,9.06
2024-11-30 09:30:00,15.66,8.61
2024-11-30 10:00:00,15.0,0.82
2024-11-30 10:30:00,15.0,4.73
2024-11-30 11:00:00,16.07,9.53
2024-11-30 11:30:00,15.47,5.42
2024-11-30 12:00:00,15.43,6.67
2024-11-30 12:30:00,15.95,9.75
2024-11-30 13:00:00,15.3,6.0
2024-11-30 13:30:00,16.19,8.74
2024-11-30 14:00:00,17.72,7.32
2024-11-30 14:30:00,17.2,8.07
2024-11-30 15:00:00,17.14,2.03
2024-11-30 15:30:00,17.22,8.18
2024-11-30 16:00:00,17.65,10.43
2024-11-30 16:30:00,17.4,6.84
2024-11-30 17:00:00,17.73,6.83
2024-11-30 17:30:00,18.12,5.31
2024-11-30 18:00:00,19.07,4.53
2024-11-30 18:30:00,19.17,4.32
2024-11-30 19:00:00,19.91,3.41
2024-11-30 19:30:00,20.18,0.98
2024-11-30 20:00:00,20.44,0.03
2024-11-30 20:30:00,21.11,0.3
2024-11-30 21:00:00,21.13,0.24
2024-11-30 21:30:00,21.67,1.04
2024-11-30 22:00:00,21.6,-1.88
2024-11-30 22:30:00,22.02,-2.66
2024-11-30 23:00:00,20.91,1.38
2024-11-30 23:30:00,21.16,2.24
2024-12-01 00:00:00,20.88,-0.46
2024-12-01 00:30:00,19.23,-0.76
2024-12-01 01:00:00,18.86,-0.1
2024-12-01 01:30:00,19.14,3.09
2024-12-01 02:00:00,17.57,0.13
2024-12-01 02:30:00,18.26,1.16
2024-12-01 03:00:00,17.41,-0.59
2024-12-01 03:30:00,15.22,1.19
2024-12-01 04:00:00,15.03,1.87
2024-12-01 04:30:00,15.8,6.28
2024-12-01 05:00:00,15.15,2.09
2024-12-01 05:30:00,15.0,3.32
2024-12-01 06:00:00,15.47,3.98
2024-12-01 06:30:00,15.72,4.28
2024-12-01 07:00:00,15.54,8.38
2024-12-01 07:30:00,15.29,6.12
2024-12-01 08:00:00,15.0,4.9
2024-12-01 08:30:00,15.0,3.92
2024-12-01 09:00:00,15.24,5.63
2024-12-01 09:30:00,15.43,9.75
2024-12-01 10:00:00,15.44,7.95
2024-12-01 10:30:00,15.0,6.35
2024-12-01 11:00:00,15.0,9.76
2024-12-01 11:30:00,15.2,6.58
2024-12-01 12:00:00,15.1,11.74
2024-12-01 12:30:00,16.06,7.34
2024-12-01 13:00:00,16.79,8.01
2024-12-01 13:30:00,17.97,8.97
2024-12-01 14:00:00,18.65,7.23
2024-12-01 14:30:00,17.72,11.59
2024-12-01 15:00:00,17.48,4.79
2024-12-01 15:30:00,18.5,6.9
2024-12-01 16:00:00,18.38,6.55
2024-12-01 16:30:00,18.85,7.18
2024-12-01 17:00:00,18.65,4.37
2024-12-01 17:30:00,18.6,2.99
2024-12-01 18:00:00,18.83,5.0
2024-12-01 18:30:00,18.99,6.54
2024-12-01 19:00:00,19.39,1.03
2024-12-01 19:30:00,19.21,2.02
2024-12-01 20:00:00,19.28,4.37
2024-12-01 20:30:00,19.14,0.53
2024-12-01 21:00:00,18.52,-0.67
2024-12-01 21:30:00,19.57,0.17
2024-12-01 22:00:00,19.82,-3.22
2024-12-01 22:30:00,19.69,1.05
2024-12-01 23:00:00,20.62,0.72
2024-12-01 23:30:00,19.53,-3.07
2024-12-02 00:00:00,19.16,-0.51
2024-12-02 00:30:00,18.59,-1.36
2024-12-02 01:00:00,18.56,1.66
2024-12-02 01:30:00,18.91,2.39
2024-12-02 02:00:00,18.0,-0.69
2024-12-02 02:30:00,17.7,0.64
2024-12-02 03:00:00,17.33,1.96
2024-12-02 03:30:00,17.46,2.62
2024-12-02 04:00:00,15.89,1.28
2024-12-02 04:30:00,15.36,2.47
2024-12-02 05:00:00,15.95,2.39
2024-12-02 05:30:00,15.45,3.21
2024-12-02 06:00:00,15.0,1.85
2024-12-02 06:30:00,15.87,2.52
2024-12-02 07:00:00,15.71,1.33
2024-12-02 07:30:00,15.8,7.05
2024-12-02 08:00:00,16.17,5.04
2024-12-02 08:30:00,16.54,2.59
2024-12-02 09:00:00,17.92,5.84
2024-12-02 09:30:00,16.51,9.41
2024-12-02 10:00:00,17.43,7.33
2024-12-02 10:30:00,15.95,5.35
2024-12-02 11:00:00,15.94,4.61
2024-12-02 11:30:00,15.9,5.2
2024-12-02 12:00:00,16.6,10.02
2024-12-02 12:30:00,16.15,10.41
2024-12-02 13:00:00,16.42,7.44
2024-12-02 13:30:00,16.11,7.86
2024-12-02 14:00:00,16.36,5.2
2024-12-02 14:30:00,16.66,3.75
2024-12-02 15:00:00,15.84,5.01
2024-12-02 15:30:00,16.29,8.39
2024-12-02 16:00:00,17.13,5.7
2024-12-02 16:30:00,18.63,1.78
2024-12-02 17:00:00,19.7,5.65
2024-12-02 17:30:00,18.95,2.75
2024-12-02 18:00:00,19.01,2.67
2024-12-02 18:30:00,18.65,5.33
2024-12-02 19:00:00,20.06,3.66
2024-12-02 19:30:00,21.12,0.33
2024-12-02 20:00:00,20.65,3.77
2024-12-02 20:30:00,21.14,3.69
2024-12-02 21:00:00,21.21,-0.92
2024-12-02 21:30:00,19.92,1.1
2024-12-02 22:00:00,20.48,-0.47
2024-12-02 22:30:00,20.58,-1.18
2024-12-02 23:00:00,20.69,-0.62
2024-12-02 23:30:00,19.58,1.93
2024-12-03 00:00:00,17.48,-1.38
2024-12-03 00:30:00,16.81,-1.05
2024-12-03 01:00:00,16.11,0.01
2024-12-03 01:30:00,17.28,0.92
2024-12-03 02:00:00,16.98,3.03
2024-12-03 02:30:00,17.08,2.99
2024-12-03 03:00:00,16.25,4.3
2024-12-03 03:30:00,16.43,1.22
2024-12-03 04:00:00,16.73,-1.46
2024-12-03 04:30:00,15.49,2.28
2024-12-03 05:00:00,15.0,2.64
2024-12-03 05:30:00,15.0,-1.77
2024-12-03 06:00:00,15.0,3.7
2024-12-03 06:30:00,15.0,6.11
2024-12-03 07:00:00,15.57,3.33
2024-12-03 07:30:00,15.84,5.89
2024-12-03 08:00:00,16.01,2.85
2024-12-03 08:30:00,17.2,7.65
2024-12-03 09:00:00,18.27,9.58
2024-12-03 09:30:00,17.44,4.58
2024-12-03 10:00:00,17.25,7.61
2024-12-03 10:30:00,17.45,8.92
2024-12-03 11:00:00,17.46,5.09
2024-12-03 11:30:00,18.53,9.61
2024-12-03 12:00:00,18.35,6.98
2024-12-03 12:30:00,17.66,8.87
2024-12-03 13:00:00,17.47,11.09
2024-12-03 13:30:00,16.94,6.25
2024-12-03 14:00:00,16.99,7.32
2024-12-03 14:30:00,17.45,7.97
2024-12-03 15:00:00,17.67,5.48
2024-12-03 15:30:00,18.34,8.31
2024-12-03 16:00:00,18.2,5.11
2024-12-03 16:30:00,18.3,1.75
2024-12-03 17:00:00,18.42,6.65
2024-12-03 17:30:00,18.68,0.79
2024-12-03 18:00:00,18.7,-0.32
2024-12-03 18:30:00,19.39,1.41
2024-12-03 19:00:00,20.2,1.54
2024-12-03 19:30:00,19.82,3.61
2024-12-03 20:00:00,20.29,2.85
2024-12-03 20:30:00,20.53,4.18
2024-12-03 21:00:00,20.51,4.73
2024-12-03 21:30:00,20.92,1.14
2024-12-03 22:00:00,19.73,-3.18
2024-12-03 22:30:00,19.64,-0.32
2024-12-03 23:00:00,20.02,0.65
2024-12-03 23:30:00,19.0,-2.83
2024-12-04 00:00:00,18.41,-2.16
2024-12-04 00:30:00,17.73,1.06
2024-12-04 01:00:00,16.74,-0.27
2024-12-04 01:30:00,16.52,-0.26
2024-12-04 02:00:00,16.75,0.04
2024-12-04 02:30:00,17.79,0.81
2024-12-04 03:00:00,16.35,1.1
2024-12-04 03:30:00,15.91,3.83
2024-12-04 04:00:00,15.0,0.47
2024-12-04 04:30:00,15.0,3.14
2024-12-04 05:00:00,15.16,4.76
2024-12-04 05:30:00,15.0,0.28
2024-12-04 06:00:00,15.27,5.26
2024-12-04 06:30:00,15.0,1.03
2024-12-04 07:00:00,15.35,4.22
2024-12-04 07:30:00,15.7,5.25
2024-12-04 08:00:00,15.3,3.7
2024-12-04 08:30:00,15.0,6.67
2024-12-04 09:00:00,15.0,7.57
2024-12-04 09:30:00,15.42,6.85
2024-12-04 10:00:00,15.0,8.83
2024-12-04 10:30:00,15.0,7.23
2024-12-04 11:00:00,15.0,7.3
2024-12-04 11:30:00,15.35,5.86
2024-12-04 12:00:00,15.0,4.13
2024-12-04 12:30:00,15.73,5.21
2024-12-04 13:00:00,15.0,7.57
2024-12-04 13:30:00,15.0,7.12
2024-12-04 14:00:00,15.0,8.76
2024-12-04 14:30:00,15.0,5.63
2024-12-04 15:00:00,16.66,5.86
2024-12-04 15:30:00,16.95,5.09
2024-12-04 16:00:00,18.16,7.48
2024-12-04 16:30:00,18.84,6.13
2024-12-04 17:00:00,18.9,4.36
2024-12-04 17:30:00,18.52,2.18
2024-12-04 18:00:00,18.84,2.99
2024-12-04 18:30:00,18.49,4.36
2024-12-04 19:00:00,19.73,4.88
2024-12-04 19:30:00,20.17,2.03
2024-12-04 20:00:00,20.67,4.39
2024-12-04 20:30:00,21.2,-3.98
2024-12-04 21:00:00,21.14,3.86
2024-12-04 21:30:00,21.21,3.04
2024-12-04 22:00:00,21.0,-0.01
2024-12-04 22:30:00,20.7,-2.68
2024-12-04 23:00:00,20.51,2.05
2024-12-04 23:30:00,20.21,-5.65
2024-12-05 00:00:00,19.78,2.58
2024-12-05 00:30:00,19.17,-0.92
2024-12-05 01:00:00,19.12,1.1
2024-12-05 01:30:00,18.91,0.35
2024-12-05 02:00:00,18.7,-0.9
2024-12-05 02:30:00,16.9,-0.78
2024-12-05 03:00:00,16.33,-0.38
2024-12-05 03:30:00,16.26,-1.47
2024-12-05 04:00:00,15.59,0.86
2024-12-05 04:30:00,17.05,-1.77
2024-12-05 05:00:00,15.61,-0.7
2024-12-05 05:30:00,15.0,4.11
2024-12-05 06:00:00,15.39,3.53
2024-12-05 06:30:00,15.0,2.99
2024-12-05 07:00:00,15.6,4.76
2024-12-05 07:30:00,15.37,6.33
2024-12-05 08:00:00,15.0,5.69
2024-12-05 08:30:00,15.76,3.18
2024-12-05 09:00:00,15.77,4.76
2024-12-05 09:30:00,15.39,7.63
2024-12-05 10:00:00,15.37,5.51
2024-12-05 10:30:00,15.0,10.82
2024-12-05 11:00:00,15.0,8.13
2024-12-05 11:30:00,15.48,10.23
2024-12-05 12:00:00,16.46,7.88
2024-12-05 12:30:00,16.96,9.46
2024-12-05 13:00:00,17.28,10.6
2024-12-05 13:30:00,16.59,5.17
2024-12-05 14:00:00,15.71,10.57
2024-12-05 14:30:00,16.34,4.25
2024-12-05 15:00:00,16.77,9.59
2024-12-05 15:30:00,17.54,6.83
2024-12-05 16:00:00,17.71,5.68
2024-12-05 16:30:00,19.11,6.16
2024-12-05 17:00:00,19.41,1.63
2024-12-05 17:30:00,19.99,4.76
2024-12-05 18:00:00,20.01,1.1
2024-12-05 18:30:00,20.4,4.15
2024-12-05 19:00:00,19.44,2.07
2024-12-05 19:30:00,19.89,2.86
