Timestamp,Temperature_Celsius(°C),External_Temp(°C)
2024-11-30 00:00:00,19.94,3.21
2024-11-30 00:30:00,18.61,-0.45
2024-11-30 01:00:00,18.68,2.25
2024-11-30 01:30:00,18.01,-3.01
2024-11-30 02:00:00,17.34,-0.35
2024-11-30 02:30:00,16.09,-1.69
2024-11-30 03:00:00,15.93,-1.68
2024-11-30 03:30:00,15.31,-2.74
2024-11-30 04:00:00,15.27,-1.65
2024-11-30 04:30:00,15.0,0.98
2024-11-30 05:00:00,15.0,-1.6
2024-11-30 05:30:00,15.0,2.89
2024-11-30 06:00:00,15.64,0.3
2024-11-30 06:30:00,15.29,5.94
2024-11-30 07:00:00,15.0,3.0
2024-11-30 07:30:00,15.0,5.31
2024-11-30 08:00:00,15.42,5.86
2024-11-30 08:30:00,15.36,3.41
2024-11-30 09:00:00,15.92,9.29
2024-11-30 09:30:00,16.7,6.55
2024-11-30 10:00:00,16.39,3.95
2024-11-30 10:30:00,16.06,6.13
2024-11-30 11:00:00,15.41,9.85
2024-11-30 11:30:00,15.78,7.48
2024-11-30 12:00:00,16.43,7.33
2024-11-30 12:30:00,16.57,6.96
2024-11-30 13:00:00,16.16,5.95
2024-11-30 13:30:00,16.0,5.42
2024-11-30 14:00:00,16.38,8.06
2024-11-30 14:30:00,16.55,7.19
2024-11-30 15:00:00,17.27,8.68
2024-11-30 15:30:00,18.67,7.39
2024-11-30 16:00:00,19.19,9.03
2024-11-30 16:30:00,18.73,2.89
2024-11-30 17:00:00,18.18,5.72
2024-11-30 17:30:00,18.73,2.73
2024-11-30 18:00:00,19.48,4.73
2024-11-30 18:30:00,19.0,-0.57
2024-11-30 19:00:00,18.4,1.59
2024-11-30 19:30:00,18.4,-1.74
2024-11-30 20:00:00,18.81,4.78
2024-11-30 20:30:00,19.26,-2.33
2024-11-30 21:00:00,19.81,3.08
2024-11-30 21:30:00,19.09,-1.79
2024-11-30 22:00:00,19.47,1.6
2024-11-30 22:30:00,20.56,1.54
2024-11-30 23:00:00,19.6,1.09
2024-11-30 23:30:00,19.79,0.15
2024-12-01 00:00:00,18.81,2.17
2024-12-01 00:30:00,18.55,-0.13
2024-12-01 01:00:00,18.32,-1.87
2024-12-01 01:30:00,17.25,0.44
2024-12-01 02:00:00,17.2,-1.39
2024-12-01 02:30:00,17.36,0.92
2024-12-01 03:00:00,17.51,0.52
2024-12-01 03:30:00,16.95,2.47
2024-12-01 04:00:00,16.81,3.12
2024-12-01 04:30:00,16.12,1.24
2024-12-01 05:00:00,15.69,4.91
2024-12-01 05:30:00,15.62,5.14
2024-12-01 06:00:00,15.22,3.29
2024-12-01 06:30:00,16.19,3.0
2024-12-01 07:00:00,15.82,2.78
2024-12-01 07:30:00,15.0,4.77
2024-12-01 08:00:00,15.0,2.18
2024-12-01 08:30:00,15.21,6.59
2024-12-01 09:00:00,15.34,6.11
2024-12-01 09:30:00,16.47,7.58
2024-12-01 10:00:00,16.07,4.5
2024-12-01 10:30:00,16.4,8.49
2024-12-01 11:00:00,16.14,5.52
2024-12-01 11:30:00,16.1,6.05
2024-12-01 12:00:00,16.13,7.88
2024-12-01 12:30:00,16.86,10.53
2024-12-01 13:00:00,16.93,11.57
2024-12-01 13:30:00,17.1,8.76
2024-12-01 14:00:00,17.96,7.62
2024-12-01 14:30:00,18.47,9.29
2024-12-01 15:00:00,19.34,7.05
2024-12-01 15:30:00,19.22,6.42
2024-12-01 16:00:00,20.22,4.14
2024-12-01 16:30:00,19.77,8.67
2024-12-01 17:00:00,19.0,7.18
2024-12-01 17:30:00,20.02,-0.76
2024-12-01 18:00:00,20.58,3.32
2024-12-01 18:30:00,20.68,5.34
2024-12-01 19:00:00,20.02,2.78
2024-12-01 19:30:00,20.18,1.41
2024-12-01 20:00:00,20.45,-0.31
2024-12-01 20:30:00,19.83,-2.65
2024-12-01 21:00:00,20.09,-0.11
2024-12-01 21:30:00,20.13,1.02
2024-12-01 22:00:00,20.55,-3.85
2024-12-01 22:30:00,20.61,0.77
2024-12-01 23:00:00,21.47,2.81
2024-12-01 23:30:00,20.17,3.25
2024-12-02 00:00:00,18.59,-3.25
2024-12-02 00:30:00,18.2,0.49
2024-12-02 01:00:00,17.76,-3.5
2024-12-02 01:30:00,17.71,0.28
2024-12-02 02:00:00,16.62,1.14
2024-12-02 02:30:00,15.71,-0.43
2024-12-02 03:00:00,16.17,-0.57
2024-12-02 03:30:00,16.18,-0.35
2024-12-02 04:00:00,16.34,3.47
2024-12-02 04:30:00,16.93,3.95
2024-12-02 05:00:00,16.76,-1.12
2024-12-02 05:30:00,17.26,1.85
2024-12-02 06:00:00,16.74,2.14
2024-12-02 06:30:00,16.72,3.78
2024-12-02 07:00:00,16.53,6.65
2024-12-02 07:30:00,16.17,1.76
2024-12-02 08:00:00,16.03,5.72
2024-12-02 08:30:00,16.2,6.47
2024-12-02 09:00:00,17.42,10.32
2024-12-02 09:30:00,17.96,5.29
2024-12-02 10:00:00,18.29,5.03
2024-12-02 10:30:00,18.23,5.4
2024-12-02 11:00:00,17.6,5.27
2024-12-02 11:30:00,17.2,6.63
2024-12-02 12:00:00,16.8,3.25
2024-12-02 12:30:00,16.87,6.67
2024-12-02 13:00:00,16.86,6.08
2024-12-02 13:30:00,16.77,5.72
2024-12-02 14:00:00,17.52,6.86
2024-12-02 14:30:00,18.28,3.32
2024-12-02 15:00:00,18.81,4.53
2024-12-02 15:30:00,18.46,7.67
2024-12-02 16:00:00,18.82,2.61
2024-12-02 16:30:00,18.8,3.06
2024-12-02 17:00:00,19.66,3.74
2024-12-02 17:30:00,20.23,8.56
2024-12-02 18:00:00,20.11,5.15
2024-12-02 18:30:00,20.45,5.12
2024-12-02 19:00:00,20.95,1.97
2024-12-02 19:30:00,21.24,1.83
2024-12-02 20:00:00,20.17,2.66
2024-12-02 20:30:00,20.09,-0.01
2024-12-02 21:00:00,20.9,1.11
2024-12-02 21:30:00,20.27,0.98
2024-12-02 22:00:00,21.35,2.0
2024-12-02 22:30:00,20.95,3.12
2024-12-02 23:00:00,19.03,1.3
2024-12-02 23:30:00,19.68,-1.74
2024-12-03 00:00:00,19.18,-2.91
2024-12-03 00:30:00,19.38,1.66
